mission_days,total_delta_v_m_s
180.9987859847442,496.96858627552615
181.01888167098346,497.15189249782645
181.10771478274276,498.2563416664302
181.0302806233621,499.8461768494684
178.35212276914882,518.6184691814756
179.34575203291666,512.6516469860399
179.76492147798305,510.0006205268445
178.43831499929334,519.1450679705495
179.3687955552575,512.8698200712138
178.45472779348194,519.1875895556839
179.38387684081218,513.044222745065
179.74482632691917,510.8593607782601
180.0846006374177,508.57659259132424
178.43463264241805,520.0463298070996
179.4002899454678,513.5453466131173
179.40631229992215,513.5375882496238
178.45841015712318,519.9520793314597
179.454987785402,513.3964188602877
179.38019448393686,513.9454845816151
179.40397230910907,514.3098363888931
179.93094255735437,510.92629469779774
179.47508294323185,514.203430221198
181.2082402777779,502.6834480026147
181.17674514661527,503.13775818525767
179.38621682732608,515.6460429038976
179.94234148603377,512.0019592081991
179.72152228999636,513.8100066165929
179.65862417610586,514.286226512284
181.18814434353368,504.13233685689227
179.65628415653273,514.5812090899698
179.48648242401995,516.27400943423
179.49250477847428,516.2662510707365
179.68777854674303,515.2567356318733
179.6676830852121,515.6568736003711
179.4901647876612,517.0384992100059
180.93935498180178,507.87577610456606
181.0279413429178,507.73061914360096
179.43197772470742,518.6957695965644
181.29052854683184,507.43848586629184
182.38267299841633,501.1487521831982
180.74443004042348,512.3122789495687
179.91623819281048,518.2316248680219
179.5576314311049,520.850917041356
178.60972692279773,527.3682313373383
178.60604450830934,527.4185938968612
179.55529140798285,521.2317882732922
179.55160899349445,521.2821508328151
180.42559672488494,515.4412033702279
179.65789484006902,521.1652720444337
179.66391719452335,521.1575136809402
180.92724906755748,512.7108409766889
179.6263997089064,521.6195822270766
179.64148126270013,521.7128990621611
179.6615772037103,521.9297618202095
179.76258137911833,521.5835649060405
179.7739816850928,521.6213936463349
180.89575441159556,514.0389794914506
180.11375599559136,519.338625459399
179.6377989058248,522.6141608987111
180.9158503526057,514.255842249499
180.082260538553,520.1595369705201
180.4717352903782,518.5947829006831
179.8390975947697,522.9935398515711
179.64382124921403,524.3147192209937
181.2059005047889,513.8997910533325
180.4740753327133,519.483611023229
180.72906528517188,517.8505393169271
181.21729970170733,514.8943697249671
180.96273723512988,517.1003952628615
180.93124210396726,517.5547054455045
180.92479895738106,517.9451165696933
180.59701178460028,520.2968681418698
180.94264130088567,518.5492841171391
180.47775762748853,522.7927536258936
180.57597061332976,522.1530770278171
179.91402889761508,527.467529131726
180.44257985833096,524.510251623054
179.934124365912,528.7331427755541
180.738124292963,523.3403357085527
180.6832011467729,524.109879687324
179.9364644082471,529.6219708981
180.7404637922212,524.2338042678259
180.4516391414656,526.3061863663436
179.94552353623305,530.3451197056684
180.70896913625927,525.5619427825876
180.88944866413507,525.0670362504346
179.91636893565106,531.7304255523738
180.90954460514521,525.283899008483
180.91188464748035,526.1727271310289
180.4831337800835,529.1837769402857
180.48915613453784,529.1760185767923
179.9049700006928,533.1521734449005
180.4868166868017,529.9436262793344
180.45766147857591,530.5041570915541
180.45397917950152,530.5690827869913
180.92094330275302,527.944626824377
180.89178870217103,529.3299326710825
180.65455463534263,531.1226998034888
180.660576989797,531.1149414399954
180.62305950418005,531.5770099861319
180.63814105797377,531.6703268212162
180.1169385959484,535.2007844773102
180.08544346478578,535.6550946599532
180.6582369989839,531.8871895792646
180.88038949897373,530.8327664023759
180.63445870109845,532.5715886577664
180.9625001983129,530.4182874489152
179.66126832910015,539.2591970497738
180.62539957882416,532.8572150160107
179.65892830952703,539.5541796274597
180.09684266170422,536.6496733315878
